,New Rank,Title,Gross Income,Max Theaters,Opening Earnings,Opening Num Theaters,Release Dates,Studio,Brand
114,115,The Princess and the Frog,"$104,400,899","3,475","$786,190","3,475","Nov 25, 2009",Walt Disney Studios Motion Pictures,Walt Disney Animation Studios
115,116,Daredevil,"$102,543,518","3,474","$40,310,419","3,474","Feb 14, 2003",Twentieth Century Fox,Marvel Comics
116,117,Meet the Robinsons,"$97,822,171","3,435","$25,123,781","3,435","Mar 30, 2007",Walt Disney Studios Motion Pictures,Walt Disney Animation Studios
117,118,Encanto,"$96,093,622","3,980","$27,206,494","3,980","Nov 24, 2021",Walt Disney Studios Motion Pictures,Walt Disney Animation Studios
118,119,High School Musical 3: Senior Year,"$90,559,416","3,626","$42,030,184","3,626","Oct 24, 2008",Walt Disney Studios Motion Pictures,Disney Channel
119,120,Planes,"$90,288,712","3,716","$22,232,291","3,716","Aug 9, 2013",Walt Disney Studios Motion Pictures,DisneyToon Studios
120,121,The Marvels,"$84,500,223","4,030","$46,110,859","4,030","Nov 10, 2023",Walt Disney Studios Motion Pictures,Marvel Comics
121,122,Ferdinand,"$84,410,380","3,630","$13,401,586","3,630","Dec 15, 2017",Twentieth Century Fox,Blue Sky Studios
122,123,Blade II,"$82,348,319","2,707","$32,528,016","2,707","Mar 22, 2002",New Line Cinema,Marvel Comics
123,124,Hannah Montana: The Movie,"$79,576,189","3,231","$32,324,487","3,231","Apr 10, 2009",Walt Disney Studios Motion Pictures,Disney Channel
124,125,Morbius,"$73,865,530","4,268","$39,005,895","4,268","Apr 1, 2022",Columbia Pictures,Marvel Comics
125,126,Blade,"$70,087,718","2,389","$17,073,856","2,389","Aug 21, 1998",New Line Cinema,Marvel Comics
126,127,Star Wars: Episode V - The Empire Strikes Back1997 Special Edition,"$67,597,694","2,322","$21,975,993","2,322","Feb 21, 1997",Twentieth Century Fox,Lucasfilm
127,128,Spies in Disguise,"$66,757,013","3,502","$13,354,798","3,502","Dec 25, 2019",Twentieth Century Fox,Blue Sky Studios
128,129,X-Men: Dark Phoenix,"$65,845,974","3,721","$32,828,348","3,721","Jun 7, 2019",Twentieth Century Fox,Marvel Comics
129,130,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,"$65,281,781",687,"$31,117,834",687,"Feb 1, 2008",Walt Disney Studios Motion Pictures,Disney Channel
130,131,Ice Age: Collision Course,"$64,063,008","3,997","$21,373,064","3,997","Jul 22, 2016",Twentieth Century Fox,Blue Sky Studios
131,132,Onward,"$61,555,145","4,310","$39,119,861","4,310","Mar 6, 2020",Walt Disney Studios Motion Pictures,Pixar
132,133,Planes: Fire & Rescue,"$59,165,787","3,839","$17,509,407","3,839","Jul 18, 2014",Walt Disney Studios Motion Pictures,DisneyToon Studios
133,134,Willow,"$57,269,863","1,209","$8,300,169","1,209","May 20, 1988",Metro-Goldwyn-Mayer (MGM),Lucasfilm
134,135,Fantastic Four,"$56,117,548","4,004","$25,685,737","4,004","Aug 7, 2015",Twentieth Century Fox,Marvel Comics
135,136,Raya and the Last Dragon,"$54,723,032","2,375","$8,502,498","2,375","Mar 5, 2021",Walt Disney Studios Motion Pictures,Walt Disney Animation Studios
136,137,Blade: Trinity,"$52,411,906","2,912","$16,100,000","2,912","Dec 8, 2004",New Line Cinema,Marvel Comics
137,138,Ghost Rider: Spirit of Vengeance,"$51,774,002","3,174","$22,115,334","3,174","Feb 17, 2012",Sony Pictures Releasing,Marvel Comics
138,139,Red Tails,"$49,876,377","2,573","$18,782,154","2,573","Jan 20, 2012",Twentieth Century Fox,Lucasfilm
139,140,The Jungle Book 2,"$47,901,582","2,815","$11,441,733","2,815","Feb 14, 2003",Walt Disney Studios Motion Pictures,DisneyToon Studios
140,141,The Tigger Movie,"$45,554,533","2,818","$9,427,532","2,818","Feb 11, 2000",Walt Disney Studios Motion Pictures,DisneyToon Studios
141,142,Star Wars: Episode VI - Return of the Jedi1997 Special Edition,"$45,470,437","2,111","$16,293,531","2,111","Mar 14, 1997",Twentieth Century Fox,Lucasfilm
142,143,Star Wars: Episode I - The Phantom Menace2012 3D Release,"$43,458,335","2,655","$22,469,932","2,655","Feb 10, 2012",Twentieth Century Fox,Lucasfilm
143,144,The Lizzie McGuire Movie,"$42,734,455","2,825","$17,338,755","2,825","May 2, 2003",Walt Disney Studios Motion Pictures,Disney Channel
144,145,Finding Nemo2012 3D Release,"$41,128,283","2,904","$16,687,773","2,904","Sep 14, 2012",Walt Disney Studios Motion Pictures,Pixar
145,146,Recess: School's Out,"$36,706,141","2,630","$10,065,873","2,630","Feb 16, 2001",Walt Disney Studios Motion Pictures,Disney Channel
146,147,A Goofy Movie,"$35,348,597","2,176","$6,129,557","2,176","Apr 7, 1995",Walt Disney Studios Motion Pictures,DisneyToon Studios
147,148,Star Wars: The Clone Wars,"$35,161,554","3,452","$14,611,273","3,452","Aug 15, 2008",Warner Bros.,Lucasfilm
148,149,"Monsters, Inc.2012 3D Release","$34,043,006","2,618","$4,774,686","2,618","Dec 19, 2012",Walt Disney Studios Motion Pictures,Pixar
149,150,The Punisher,"$33,810,189","2,649","$14,000,000","2,649","Apr 16, 2004",Lionsgate,Marvel Comics
150,151,Earth,"$32,011,576","1,804","$8,825,760","1,804","Apr 22, 2009",Walt Disney Studios Motion Pictures,Disneynature
151,152,Toy Story2009 Re-release,"$30,702,446","1,752","$12,491,789","1,752","Oct 2, 2009",Walt Disney Studios Motion Pictures,Pixar
152,153,Chimpanzee,"$28,972,764","1,567","$10,673,748","1,567","Apr 20, 2012",Walt Disney Studios Motion Pictures,Disneynature
153,154,Winnie the Pooh,"$26,692,846","2,405","$7,857,076","2,405","Jul 15, 2011",Walt Disney Studios Motion Pictures,Walt Disney Animation Studios
154,155,Elektra,"$24,409,722","3,204","$12,804,793","3,204","Jan 14, 2005",Twentieth Century Fox,Marvel Comics
155,156,The New Mutants,"$23,852,659","2,754","$7,037,017","2,754","Aug 28, 2020",20th Century Studios,Marvel Comics
156,157,Piglet's Big Movie,"$23,103,423","2,084","$6,097,758","2,084","Mar 21, 2003",Walt Disney Studios Motion Pictures,DisneyToon Studios
157,158,Raiders of the Lost Ark1982 Re-release,"$21,437,879","1,330","$4,347,101","1,330","Jul 16, 1982",Paramount Pictures,Lucasfilm
158,159,Tucker: The Man and His Dream,"$19,652,638",720,"$3,709,562",720,"Aug 12, 1988",Paramount Pictures,Lucasfilm
159,160,Doug's 1st Movie,"$19,440,089","2,268","$4,470,489","2,268","Mar 26, 1999",Walt Disney Studios Motion Pictures,Disney Channel
160,161,Oceans,"$19,422,319","1,232","$6,058,958","1,232","Apr 22, 2010",Walt Disney Studios Motion Pictures,Disneynature
161,162,Jonas Brothers: The 3D Concert Experience,"$19,162,740","1,276","$12,510,374","1,276","Feb 27, 2009",Walt Disney Studios Motion Pictures,Disney Channel
162,163,DuckTales the Movie: Treasure of the Lost Lamp,"$18,115,724","1,558","$3,870,366","1,558","Aug 3, 1990",Walt Disney Studios Motion Pictures,DisneyToon Studios
163,164,Pooh's Heffalump Movie,"$18,098,433","2,529","$5,805,559","2,529","Feb 11, 2005",Walt Disney Studios Motion Pictures,DisneyToon Studios
164,165,Bears,"$17,780,194","1,790","$4,776,267","1,790","Apr 18, 2014",Walt Disney Studios Motion Pictures,Disneynature
165,166,Monkey Kingdom,"$16,432,322","2,012","$4,577,861","2,012","Apr 17, 2015",Walt Disney Studios Motion Pictures,Disneynature
166,167,Howard the Duck,"$16,295,774","1,563","$5,070,136","1,563","Aug 1, 1986",Universal Pictures,Lucasfilm
167,168,Howard the Duck,"$16,295,774","1,563","$5,070,136","1,563","Aug 1, 1986",Universal Pictures,Marvel Comics
168,169,Star Wars: Episode IV - A New Hope1982 Re-release,"$15,476,785","1,070","$3,766,803","1,070","Aug 13, 1982",Twentieth Century Fox,Lucasfilm
169,170,African Cats,"$15,428,747","1,224","$6,003,200","1,224","Apr 22, 2011",Walt Disney Studios Motion Pictures,Disneynature
170,171,More American Graffiti,"$15,014,674",-,-,-,"Aug 3, 1979",Universal Pictures,Lucasfilm
171,172,Born in China,"$13,873,211","1,508","$4,790,367","1,508","Apr 21, 2017",Walt Disney Studios Motion Pictures,Disneynature
172,173,Star Wars: Episode V - The Empire Strikes Back1982 Re-release,"$13,276,241","1,006","$3,949,478","1,006","Nov 19, 1982",Twentieth Century Fox,Lucasfilm
173,174,Star Wars: Episode I - The Phantom Menace2024 Re-release,"$13,029,994","2,700","$8,723,194","2,700","May 3, 2024",Walt Disney Studios Motion Pictures,Lucasfilm
174,175,Labyrinth,"$12,729,917","1,141","$3,549,243","1,141","Jun 27, 1986",TriStar Pictures,Lucasfilm
175,176,Strange Magic,"$12,429,583","3,020","$5,504,441","3,020","Jan 23, 2015",Walt Disney Studios Motion Pictures,Lucasfilm
176,177,Raiders of the Lost Ark1983 Re-release,"$11,374,454",628,"$1,327,451",628,"Mar 25, 1983",Paramount Pictures,Lucasfilm
177,178,Star Wars: Episode VI - Return of the Jedi1985 Re-release,"$11,252,123",894,"$3,209,056",894,"Mar 29, 1985",Twentieth Century Fox,Lucasfilm
178,179,Spider-Man: No Way Home2022 Re-release,"$9,321,593","3,935","$5,403,230","3,935","Sep 2, 2022",Sony Pictures Releasing,Marvel Comics
179,180,Star Wars: Episode II - Attack of the Clones2002 IMAX Release,"$8,485,488",58,"$1,435,259",58,"Nov 1, 2002",Twentieth Century Fox,Lucasfilm
180,181,Punisher: War Zone,"$8,050,977","2,508","$4,271,451","2,508","Dec 5, 2008",Lionsgate,Marvel Comics
181,182,Penguins,"$7,699,452","1,815","$2,282,593","1,815","Apr 17, 2019",Walt Disney Studios Motion Pictures,Disneynature
182,183,Star Wars: Episode VI - Return of the Jedi2023 Re-release,"$7,259,924",475,"$5,100,654",475,"Apr 28, 2023",,Lucasfilm
183,184,Spider-Man/Men in Black IIDouble Bill,"$6,632,970","2,078","$2,111,862","2,078","Sep 6, 2002",Sony Pictures Releasing,Marvel Comics
184,185,Teacher's Pet,"$6,491,969","2,027","$2,461,252","2,027","Jan 16, 2004",Walt Disney Studios Motion Pictures,Disney Channel
185,186,Once Upon a Deadpool2018 Re-release,"$6,100,309","1,566","$2,683,200","1,566","Dec 12, 2018",Twentieth Century Fox,Marvel Comics
186,187,Columbia 100th Anniversary SeriesColumbia 100th Anniversary Series,"$6,013,515",466,"$18,856",466,"Apr 15, 2024",Sony Pictures Releasing,Marvel Comics
187,188,Columbia 100th Anniversary SeriesColumbia 100th Anniversary Series,"$6,013,515",466,"$18,856",466,"Apr 15, 2024",Sony Pictures Releasing,Marvel Comics
188,189,Columbia 100th Anniversary SeriesColumbia 100th Anniversary Series,"$6,013,515",466,"$18,856",466,"Apr 15, 2024",Sony Pictures Releasing,Marvel Comics
189,190,Columbia 100th Anniversary SeriesColumbia 100th Anniversary Series,"$6,013,515",466,"$18,856",466,"Apr 15, 2024",Sony Pictures Releasing,Marvel Comics
190,191,Columbia 100th Anniversary SeriesColumbia 100th Anniversary Series,"$6,013,515",466,"$18,856",466,"Apr 15, 2024",Sony Pictures Releasing,Marvel Comics
191,192,Columbia 100th Anniversary SeriesColumbia 100th Anniversary Series,"$6,013,515",466,"$18,856",466,"Apr 15, 2024",Sony Pictures Releasing,Marvel Comics
192,193,Columbia 100th Anniversary SeriesColumbia 100th Anniversary Series,"$6,013,515",466,"$18,856",466,"Apr 15, 2024",Sony Pictures Releasing,Marvel Comics
193,194,Columbia 100th Anniversary SeriesColumbia 100th Anniversary Series,"$6,013,515",466,"$18,856",466,"Apr 15, 2024",Sony Pictures Releasing,Marvel Comics
194,195,Raiders of the Lost Ark2012 IMAX Release,"$3,125,613",322,"$1,673,731",322,"Sep 7, 2012",Paramount Pictures,Lucasfilm
